ID,conf90,conf95,conf99,numberCys,numberCysCys,pattern1,pattern2,pattern3,pattern4,pattern5
g139.t1,1,1,1,1,0,0,1,1,0,1
g140.t1,1,1,1,1,0,0,1,1,0,1
g141.t1,1,1,1,0,0,0,1,1,0,1
g142.t1,1,1,1,1,0,0,1,1,1,1
g143.t1,1,1,1,1,1,0,1,1,0,1
g144.t1,1,1,1,1,1,0,1,0,0,1
g145.t1,1,1,1,1,0,0,1,1,0,1
g146.t1,0,0,0,1,0,0,1,1,0,1
g147.t1,1,1,1,1,0,0,1,1,1,1
g148.t1,1,1,1,0,0,1,1,1,0,1
g149.t1,1,1,1,1,0,0,1,1,1,1
g150.t1,1,1,1,1,0,0,1,1,0,1
g151.t1,1,0,0,1,0,1,1,1,0,1
g152.t1,0,0,0,1,0,1,1,1,1,1
g153.t1,1,1,1,0,0,0,1,1,0,1
g154.t1,1,1,1,1,0,0,1,1,0,1
g155.t1,1,1,1,0,0,0,1,1,0,1
g156.t1,1,0,0,1,0,0,1,1,0,1
g157.t1,1,1,1,1,0,0,1,1,1,1
g158.t1,1,1,1,0,0,0,1,1,1,1
g159.t1,1,1,1,0,0,1,1,1,0,1
g160.t1,1,1,1,1,0,0,1,1,0,1
g161.t1,1,1,1,1,0,1,1,1,1,1
g162.t1,1,1,1,1,0,0,1,1,0,1
g163.t1,1,1,1,0,0,0,1,1,0,1
g164.t1,1,1,1,0,0,0,1,1,0,1
g165.t1,1,1,1,1,0,0,1,1,1,1
g166.t1,0,0,0,1,0,1,1,1,0,1
g167.t1,0,0,0,1,0,0,1,1,0,1
g168.t1,1,1,1,1,1,0,1,1,0,1
g169.t1,1,1,0,1,0,0,1,1,0,1
g170.t1,1,1,1,0,0,0,1,1,0,1
g171.t1,1,1,1,0,0,0,1,1,0,1
g172.t1,0,0,0,1,0,1,1,1,1,1
g173.t1,1,0,0,1,0,1,1,1,1,1
g174.t1,1,1,1,1,0,0,1,1,1,1
g175.t1,1,1,1,1,0,0,1,1,1,1
g176.t1,1,1,1,1,0,1,1,1,0,1
g177.t1,1,1,1,1,0,0,1,1,0,1
g178.t1,1,1,1,1,0,0,1,1,0,1
g179.t1,1,1,1,1,0,1,1,1,0,1
g180.t1,1,1,1,1,0,0,1,1,1,1
g181.t1,1,0,0,1,0,1,1,1,1,1
g182.t1,1,1,1,0,0,0,1,1,0,1
g183.t1,1,1,0,1,0,0,1,1,1,1
g184.t1,1,1,1,0,0,0,1,1,0,1
g185.t1,1,1,0,1,0,0,1,1,1,1
g186.t1,0,0,0,1,0,1,1,1,1,1
g187.t1,0,0,0,0,0,0,1,1,1,1
g188.t1,1,1,1,1,0,0,1,1,0,1
g189.t1,1,1,1,1,1,0,1,1,0,1
g190.t1,1,1,1,1,0,0,1,1,0,1
g191.t1,1,1,1,0,0,1,1,1,0,1
g192.t1,1,1,1,1,0,0,1,1,1,1
g193.t1,0,0,0,1,0,0,1,1,1,1
g194.t1,1,1,1,1,0,0,1,1,0,1
g195.t1,1,1,1,1,0,0,1,1,1,1
g196.t1,1,1,1,1,0,0,1,0,0,1
g197.t1,1,1,1,1,0,0,1,1,0,1
g198.t1,1,1,1,1,1,1,1,1,0,1
g199.t1,1,1,1,1,0,0,1,1,1,1
g200.t1,1,1,1,0,0,0,1,1,0,1
g201.t1,1,1,1,1,0,0,1,1,0,1
g202.t1,1,1,1,1,1,0,1,1,0,1
g203.t1,1,1,1,1,0,0,1,1,0,1
g204.t1,1,1,1,1,0,0,1,1,1,1
g205.t1,1,1,1,1,0,0,1,1,0,1
g206.t1,1,1,1,0,0,1,1,1,0,1
g207.t1,1,1,1,1,0,0,1,1,0,1
g208.t1,1,1,1,1,0,0,1,1,0,1
g209.t1,1,1,1,0,0,0,1,1,0,1
g210.t1,1,1,1,1,0,0,1,1,1,1
g211.t1,0,0,0,1,0,1,1,1,1,1
g212.t1,1,1,1,1,0,0,1,1,1,1
g213.t1,1,1,1,1,0,0,1,1,1,1
g214.t1,1,1,1,1,0,0,1,1,0,1
g215.t1,1,1,1,0,0,0,1,1,0,1
g216.t1,1,1,1,1,0,0,1,1,1,1
g217.t1,0,0,0,1,1,1,1,1,0,1
g218.t1,0,0,0,1,0,0,1,1,1,1
g219.t1,1,1,1,1,0,0,1,1,1,1
g220.t1,1,1,1,1,0,0,1,1,0,1
g221.t1,1,1,1,1,0,0,1,1,1,1
g222.t1,1,1,1,1,0,0,1,1,0,1
g223.t1,1,1,1,1,0,0,1,1,0,1
g224.t1,1,1,1,1,0,0,1,1,1,1
g225.t1,1,1,1,1,0,0,1,1,0,1
g226.t1,1,1,1,1,0,0,1,1,1,1
g227.t1,1,1,1,1,0,0,1,1,0,1
g228.t1,1,1,1,1,0,0,1,1,1,1
g229.t1,0,0,0,1,0,0,1,1,1,1
g230.t1,0,0,0,1,0,0,1,1,1,1
g231.t1,1,1,1,1,0,0,1,1,0,1
g232.t1,1,1,1,1,1,0,1,1,0,1
g233.t1,1,1,1,0,0,0,1,1,1,1
g234.t1,1,1,1,1,0,0,1,1,1,1
g235.t1,1,1,1,1,0,0,1,1,1,1
g236.t1,1,1,1,1,0,0,1,1,1,1
g237.t1,0,0,0,1,0,0,1,1,1,1
g238.t1,1,1,1,0,0,0,1,1,0,1
g239.t1,1,1,1,1,0,0,1,0,0,1
g240.t1,1,1,1,1,0,0,1,1,0,1
g241.t1,1,1,1,1,0,0,1,1,0,1
g242.t1,1,1,1,1,0,0,1,1,1,1
g243.t1,1,1,1,1,0,0,1,1,0,1
g244.t1,1,1,1,1,0,0,1,1,1,1
g245.t1,1,1,1,1,0,0,1,1,0,1
g246.t1,1,1,1,1,0,0,1,1,1,1
g247.t1,1,1,1,1,0,0,1,1,1,1
g248.t1,1,1,0,1,0,0,1,1,1,1
g249.t1,1,1,0,1,0,0,1,1,1,1
g250.t1,1,1,1,0,0,0,1,1,0,1
g251.t1,1,1,1,1,0,0,1,1,0,1
g252.t1,1,1,1,1,0,0,1,1,1,1
g253.t1,1,1,1,1,0,0,1,1,0,1
g254.t1,1,1,1,1,0,1,1,1,1,1
g255.t1,1,0,0,1,0,0,1,1,1,1
g256.t1,1,1,1,1,0,0,1,1,0,1
g257.t1,1,1,1,1,0,0,1,1,0,1
g258.t1,1,1,1,1,0,0,1,1,0,1
g259.t1,1,1,1,0,0,0,1,1,0,1
g260.t1,1,1,1,0,0,0,1,1,0,1
g261.t1,1,1,1,1,0,0,1,1,0,1
g262.t1,1,1,1,1,0,0,1,1,1,1
g263.t1,0,0,0,1,0,1,1,1,0,1
g264.t1,1,1,1,1,0,0,1,1,0,1
g265.t1,1,1,1,0,0,0,1,1,0,1
g266.t1,0,0,0,0,0,1,1,1,0,1
g267.t1,1,1,1,0,0,0,1,1,0,1
g268.t1,1,1,1,1,0,0,1,1,0,1
g269.t1,1,1,1,1,1,0,1,1,0,1
g270.t1,1,1,1,0,0,0,1,1,0,1
g271.t1,1,1,1,1,1,0,1,1,0,1
g272.t1,1,1,1,1,0,0,1,0,1,1
g273.t1,1,1,1,1,0,0,1,1,1,1
g274.t1,0,0,0,1,0,0,1,1,1,1
g275.t1,1,1,1,1,0,0,1,1,0,1
g276.t1,1,1,0,1,0,0,1,1,1,1
g277.t1,1,1,1,1,0,0,1,1,0,1
g278.t1,0,0,0,1,0,1,1,1,0,1
